Cement brand,Specific Weight of cement,Dry Specific Weight of fine aggregate,Fineness Module of fine aggregate,Dry Specific Weight of Coarse Aggregate,Fineness Module of coarse aggregate,Nominal Maximum Size,Concrete Strength at 28 days,Slump,Cement Weight,Fine Aggregate Weight,Coarse Aggregate Weight,Water Weight
YURA IP,2810,2410,2.64,2660,6.09,0.5,212.1666667,4,342.82,695.24,926.63,216
YURA IP,2810,2410,2.64,2680,6.48,0.75,224.86,3.8,325.96,634.89,1060.77,205
YURA IP,2810,2410,2.64,2660,6.09,0.5,265.3066667,3.3,387.78,656.61,926.63,216
YURA IP,2810,2410,2.64,2680,6.48,0.75,272.79,3.1,368.11,598.68,1060.77,205
YURA IP,2810,2410,2.64,2660,6.09,0.5,323.3933333,2.3,463.65,591.43,926.63,216
YURA IP,2810,2410,2.64,2680,6.48,0.75,330.83,2.2,441.17,535.91,1060.77,205
YURA IP,2810,2680,2.82,2700,6.22,0.5,240.65,2.25,386.819,780.174,891.585,216
YURA IP,2810,2680,2.82,2700,6.22,0.5,243.19,6,401.826,960.366,751.615,220.42
YURA IP,2810,2680,2.82,2700,6.22,0.5,250.3,2.75,441.18,778.179,771.298,242.008
YURA IP,2810,2680,2.82,2700,6.22,0.5,240.64,2.75,402.038,784.5,879.757,229.174
WARI TIPO I,3610,2680,2.82,2700,6.22,0.5,451.83,3.5,386.819,821.097,891.585,216
WARI TIPO I,3610,2680,2.82,2700,6.22,0.5,525.2,3.25,401.826,984.26,770.315,220.42
WARI TIPO I,3610,2680,2.82,2700,6.22,0.5,488.05,9.5,441.18,889.84,705.979,242.008
WARI TIPO I,3610,2680,2.82,2700,6.22,0.5,461.03,8,402.038,784.5,879.757,229.174
MISHKY IP,2840,2680,2.82,2700,6.22,0.5,295.27,2,386.819,784.092,891.585,216
MISHKY IP,2840,2680,2.82,2700,6.22,0.5,289.47,1,401.826,962.645,753.398,220.42
MISHKY IP,2840,2680,2.82,2700,6.22,0.5,280.79,5,441.18,788.828,765.068,242.008
MISHKY IP,2840,2680,2.82,2700,6.22,0.5,259.55,2,402.038,784.5,879.757,229.174
YURA IP,2810,2552,2.69,2700,6.22,0.5,265.15,1,386.819,722.494,912.077,216
YURA IP,2810,2552,2.69,2700,6.22,0.5,269.76,1,401.826,880.581,786.094,220.42
YURA IP,2810,2552,2.69,2700,6.22,0.5,276.27,4,441.18,682.681,831.839,242.008
YURA IP,2810,2552,2.69,2700,6.22,0.5,264.63,2,402.038,765.89,859.971,229.174
WARI TIPO I,3610,2552,2.69,2700,6.22,0.5,531.14,2.25,386.819,761.408,912.077,216
WARI TIPO I,3610,2552,2.69,2700,6.22,0.5,550.64,3,401.826,902.491,805.652,220.42
WARI TIPO I,3610,2552,2.69,2700,6.22,0.5,524.26,9,441.18,780.64,775.207,242.008
WARI TIPO I,3610,2552,2.69,2700,6.22,0.5,510.4,8,402.038,765.89,859.971,229.174
MISHKY IP,2840,2552,2.69,2700,6.22,0.5,289.61,2,386.819,726.22,912.077,216
MISHKY IP,2840,2552,2.69,2700,6.22,0.5,262.88,1.5,401.826,882.671,787.959,220.42
MISHKY IP,2840,2552,2.69,2700,6.22,0.5,286.36,4,441.18,692.024,826.438,242.008
MISHKY IP,2840,2552,2.69,2700,6.22,0.5,260.58,2.5,402.038,765.89,859.971,229.174
YURA IP,2810,2490,2.54,2700,6.22,0.5,253.51,0.75,386.819,682.613,936.473,216
YURA IP,2810,2490,2.54,2700,6.22,0.5,262.79,1,401.826,824.385,824.059,220.42
YURA IP,2810,2490,2.54,2700,6.22,0.5,255.35,3.75,441.18,649.623,849.893,242.008
YURA IP,2810,2490,2.54,2700,6.22,0.5,238.15,1.75,402.038,828.572,773.559,229.174
WARI TIPO I,3610,2490,2.54,2700,6.22,0.5,501.89,2.75,386.819,720.593,936.473,216
WARI TIPO I,3610,2490,2.54,2700,6.22,0.5,513.35,1.5,401.826,844.896,844.562,220.42
WARI TIPO I,3610,2490,2.54,2700,6.22,0.5,499.89,6.75,441.18,742.837,795.851,242.008
WARI TIPO I,3610,2490,2.54,2700,6.22,0.5,487.85,3,402.038,828.572,773.559,229.174
MISHKY IP,2840,2490,2.54,2700,6.22,0.5,263.21,1.75,386.819,686.249,936.473,216
MISHKY IP,2840,2490,2.54,2700,6.22,0.5,257.3,1.25,401.826,826.341,826.014,220.42
MISHKY IP,2840,2490,2.54,2700,6.22,0.5,280.13,4.25,441.18,658.513,844.738,242.008
MISHKY IP,2840,2490,2.54,2700,6.22,0.5,258.7,2.25,402.038,828.572,773.559,229.174
YURA IP,2810,2680,2.82,2380,6.66,0.5,235.67,1.75,386.819,816.294,755.355,216
YURA IP,2810,2680,2.82,2380,6.66,0.5,255.62,1.75,401.826,826.337,782.748,220.42
YURA IP,2810,2680,2.82,2380,6.66,0.5,259.17,5.5,441.18,861.746,607.005,242.008
YURA IP,2810,2680,2.82,2380,6.66,0.5,255.46,1.25,393.384,847.592,794.995,214.048
WARI TIPO I,3610,2680,2.82,2380,6.66,0.5,478.05,3.75,386.819,857.217,755.355,216
WARI TIPO I,3610,2680,2.82,2380,6.66,0.5,470.95,4,401.826,846.896,802.223,220.42
WARI TIPO I,3610,2680,2.82,2380,6.66,0.5,501.98,8,441.18,966.331,555.599,242.008
WARI TIPO I,3610,2680,2.82,2380,6.66,0.5,458.59,3.5,393.384,847.592,794.995,214.048
MISHKY IP,2840,2680,2.82,2380,6.66,0.5,285.19,2,386.819,820.212,755.355,216
MISHKY IP,2840,2680,2.82,2380,6.66,0.5,284.9,2,401.826,828.297,784.605,220.42
MISHKY IP,2840,2680,2.82,2380,6.66,0.5,290.34,6.5,441.18,871.721,602.102,242.008
MISHKY IP,2840,2680,2.82,2380,6.66,0.5,294.06,2.75,393.384,847.721,794.995,214.048
YURA IP,2810,2552,2.69,2380,6.66,0.5,265.34,1.75,386.819,757.606,772.717,216
YURA IP,2810,2552,2.69,2380,6.66,0.5,278.78,1.75,401.826,760.8,806.042,220.42
